"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Citroën C3  Puretech 83 S&S Max","","Gasolina","M1","1540","","","",""
"Citroën C3  Puretech 83 S&S Plus","","Gasolina","M1","1540","","","",""
"Citroën C3  Puretech 83 S&S YOU!","","Gasolina","M1","1500","","","",""
"Citroën C3 Aircross Blue HDi 110 S&S 6v You","","Gasóleo","M1","1835","","","",""
"Citroën C3 Aircross BlueHDi 110 S&S 6v","","Gasóleo","M1","1835","","","",""
"Citroën C3 Aircross BlueHdi 110 S&S 6v Max","","Gasóleo","M1","1835","","","",""
"Citroën C3 Aircross BlueHdi 110 S&S 6v Plus","","Gasóleo","M1","1835","","","",""
"Citroën C3 Aircross BlueHDi 120 S&S EAT6","","Gasóleo","M1","1860","","","",""
"Citroën C3 Aircross PureTech 110 S&S 6v","","Gasolina","M1","1795","","","",""
"Citroën C3 Aircross PureTech 110 S&S 6v Max","","Gasolina","M1","1795","","","",""
"Citroën C3 Aircross PureTech 110 S&S 6v Plus","","Gasolina","M1","1795","","","",""
"Citroën C3 Aircross PureTech 110 S&S 6v You","","Gasolina","M1","1795","","","",""
"Citroën C3 Aircross PureTech 130 S&S EAT6","","Gasolina","M1","1835","","","",""
"Citroën C3 Aircross PureTech 130 S&S EAT6 Max","","Gasolina","M1","1835","","","",""
"Citroën C4 BlueHDi 130 S&S EAT8 MAX","","Gasóleo","M1","1795","","","",""
"Citroën C4 BlueHDi 130 S&S EAT8 PLUS","","Gasóleo","M1","1795","","","",""
"Citroën C4 Cactus BlueHDi 100 S&S 6v","","Gasóleo","M1","1630","","","",""
"Citroën C4 Cactus BlueHDi 120 S&S EAT6","","Gasóleo","M1","1680","","","",""
"Citroën C4 Cactus PureTech 110 S&S 6v","","Gasolina","M1","1575","","","",""
"Citroën C4 Cactus PureTech 110 S&S 6v","","Gasolina","M1","1585","","","",""
"Citroën C4 Cactus PureTech 110 S&S EAT6","","Gasolina","M1","1620","","","",""
"Citroën C4 Cactus PureTech 130 S&S 6v","","Gasolina","M1","1575","","","",""
"Citroën C4 Cactus PureTech 130 S&S EAT6","","Gasolina","M1","1625","","","",""
"Citroën C4 Hybrid 136 ë-DSC6 MAX","","Híbridos de gasolina","M1","1810","","15.0","","0.9"
"Citroën C4 Hybrid 136 ë-DSC6 PLUS","","Híbridos de gasolina","M1","1810","","15.0","","0.9"
"Citroën C4 PureTech 100 S&S 6v YOU","","Gasolina","M1","1690","","","",""
"Citroën C4 PureTech 130 S&S 6v C-SERIES","","Gasolina","M1","1690","","","",""
"Citroën C4 PureTech 130 S&S 6v MAX","","Gasolina","M1","1735","","","",""
"Citroën C4 PureTech 130 S&S 6v PLUS","","Gasolina","M1","1735","","","",""
"Citroën C4 PureTech 130 S&S 6v YOU","","Gasolina","M1","1735","","","",""
"Citroën C4 PureTech 130 S&S EAT8 MAX","","Gasolina","M1","1755","","","",""
"Citroën C4 PureTech 130 S&S EAT8 PLUS","","Gasolina","M1","1755","","","",""
"Citroën C4X BlueHDi 130 EAT8","","Gasóleo","M1","1785","","","",""
"Citroën C4X BlueHDi 130 S&S EAT8 Max","","Gasóleo","M1","1785","","","",""
"Citroën C4X BlueHDi 130 S&S EAT8 Plus","","Gasóleo","M1","1785","","","",""
"Citroën C4X PureTech 100","","Gasolina","M1","1690","","","",""
"Citroën C4X PureTech 100 S&S 6v You","","Gasolina","M1","1690","","","",""
"Citroën C4X PureTech 130 EAT8","","Gasolina","M1","1775","","","",""
"Citroën C4X PureTech 130 S&S EAT8 Max","","Gasolina","M1","1775","","","",""
"Citroën C4X PureTech 130 S&S EAT8 Plus","","Gasolina","M1","1775","","","",""
"Citroën C5 Aircross Plug In Hybrid 225 ë-EAT8 Shine Pack","","Híbridos enchufables","M1","2310","20.6","81.0","64.0","13.2"
"Citroën C5 Aircross Plug-In Hybrid 180 ë-EAT8","","Híbridos enchufables","M1","2300","","81.2","55.0","12.4"
"Citroën C5 X Plug-In Hybrid 180 ë-EAT8","","Híbridos enchufables","M1","2185","18.3","81.2","64.0","12.4"
"Citroën C5 X Plug-in Hybrid 180 Plus","","Híbridos enchufables","M1","2185","173.8","81.2","64.0","12.4"
"Citroën C5 X Plug-in Hybrid 180 You","","Híbridos enchufables","M1","2185","173.8","81.2","64.0","12.4"
"Citroën C5 X Plug-in Hybrid 225 Hypnos","","Híbridos enchufables","M1","2185","169.4","81.2","64.0","13.2"
"Citroën C5 X Plug-in Hybrid 225 Max","","Híbridos enchufables","M1","2185","169.4","81.2","64.0","13.2"
"Citroën C5 X Plug-In Hybrid ë225 EAT8","","Híbridos enchufables","M1","2185","","81.2","55.0","13.2"
"Citroën C5 X PureTech 130 S&S EAT8 Plus","","Gasolina","M1","1905","","","",""
"Citroën C5 X PureTech 130 S&S EAT8 You","","Gasolina","M1","1905","","","",""
"Citroën C5 X PureTech 130S&S EAT8","","Gasolina","M1","1905","","","",""
"Citroën C5 X PureTech 180 S&S EAT8","","Gasolina","M1","1930","","","",""
"Citroën ë-Berlingo 50 kWh Talla M","","Eléctricos puros","M1","2290","22.7","100.0","245.0","50.0"
