"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Ford Fiesta (03.2023) Berlina 1.0 EcoBoost Hybrid 125CV Man. ST-Line / ST-Line X / Active / Active X","","Híbridos de gasolina","M1","1710","","","",""
"Ford Fiesta (03.2023) Coupé/Berlina 1.5 EcoBoost 200CV Man. ST","","Gasolina","M1","1710","","","",""
"Ford Fiesta (03.2024) Berlina 1.0 EcoBoost Hybrid 125CV Man. ST-Line / ST-Line X / Active / Active X","","Híbridos de gasolina","M1","1710","","","",""
"Ford Focus (03.2023) Berlina 1.0 EcoBoost 125CV Man. ST-Line/ST-LineX/Active/Active X","","Gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Berlina 1.0 EcoBoost Hybrid 125CV Aut. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Berlina 1.0 EcoBoost Hybrid 125CV Man. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Berlina 1.0 EcoBoost Hybrid 155CV Aut. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Berlina 1.0 EcoBoost Hybrid 155CV Man. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Berlina 1.5 EcoBlue 115CV Aut. ST-Line/ST-LineX/Active/ActiveX","","Gasóleo","M1","2080","","","",""
"Ford Focus (03.2023) Berlina 2.3 EcoBoost 280CV Aut. ST","","Gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Berlina 2.3 EcoBoost 280CV Man. ST","","Gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Sportbreak 1.0 EcoBoost 125CV Man. ST-Line / ST-Line X / Active / Active X","","Gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Sportbreak 1.0 EcoBoost Hyb. 125CV Aut. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Sportbreak 1.0 EcoBoost Hyb. 125CV Man. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Sportbreak 1.0 EcoBoost Hybrid 155CV Aut. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Sportbreak 1.0 EcoBoost Hybrid 155CV Man. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2023) Sportbreak 1.5 EcoBlue 115CV Aut. ST-Line/ST-LineX/Active/ActiveX","","Gasóleo","M1","2080","","","",""
"Ford Focus (03.2023) Sportbreak 2.3 EcoBoost 280CV Man. ST","","Gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Berlina 1.0 EcoBoost 125CV Man. ST-Line/ST-LineX/Active/Active X","","Gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Berlina 1.0 EcoBoost Hybrid 125CV Aut. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Berlina 1.0 EcoBoost Hybrid 125CV Man. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Berlina 1.0 EcoBoost Hybrid 155CV Aut. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Berlina 1.0 EcoBoost Hybrid 155CV Man. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Berlina 1.5 EcoBlue 115CV Aut. ST-Line/ST-LineX/Active/ActiveX","","Gasóleo","M1","2080","","","",""
"Ford Focus (03.2024) Berlina 2.3 EcoBoost 280CV Aut. ST","","Gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Berlina 2.3 EcoBoost 280CV Man. ST","","Gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Sportbreak 1.0 EcoBoost 125CV Man. ST-Line / ST-Line X / Active / Active X","","Gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Sportbreak 1.0 EcoBoost Hyb. 125CV Aut. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Sportbreak 1.0 EcoBoost Hyb. 125CV Man. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Sportbreak 1.0 EcoBoost Hybrid 155CV Aut. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Sportbreak 1.0 EcoBoost Hybrid 155CV Man. Active/ActiveX/ST-Line/ST-LineX","","Híbridos de gasolina","M1","2080","","","",""
"Ford Focus (03.2024) Sportbreak 1.5 EcoBlue 115CV Aut. ST-Line/ST-LineX/Active/ActiveX","","Gasóleo","M1","2080","","","",""
"Ford Focus (03.2024) Sportbreak 2.3 EcoBoost 280CV Man. ST","","Gasolina","M1","2080","","","",""
"Ford Kuga (03.2024) SUV 1.5 EcoBoost 150CV Man. ST-Line/ST-LineX","","Gasolina","M1","2320","","","",""
"Ford Kuga (03.2024) SUV 2.0 EcoBlue 120CV Aut. ST-Line/ST-Line X","","Gasóleo","M1","2320","","","",""
"Ford Kuga (03.2024) SUV 2.5 Duratec FHEV 190CV AWD Aut. ST-Line/ST-LineX","","Híbridos de gasolina","M1","2320","","","",""
"Ford Kuga (03.2024) SUV 2.5 Duratec FHEV 190CV FWD Aut. ST-Line/ST-LineX","","Híbridos de gasolina","M1","2320","","","",""
"Ford Kuga (03.2024) SUV 2.5 Duratec PHEV 225CV Aut. ST-Line/ST-LineX","","Híbridos enchufables","M1","2320","14.8","80.6","64.0","14.0"
"Ford Kuga (03.2024) SUV 2.5 Duratec PHEV 225CV Aut. Titanium","","Híbridos enchufables","M1","2320","14.8","80.6","64.0","14.0"
"Ford Kuga MCA (03.2024) SUV 1.5 EcoBoost 150CV Man. ST-Line/ST-LineX","","Gasolina","M1","2320","","","",""
"Ford Kuga MCA (03.2024) SUV 1.5 EcoBoost 150CV Man. Titanium","","Gasolina","M1","2320","","","",""
"Ford Kuga MCA (03.2024) SUV 2.5 Duratec FHEV 180CV FWD Aut. ST-Line/ST-Line X/Active/ActiveX","","Híbridos de gasolina","M1","2320","","","",""
"Ford Kuga MCA (03.2024) SUV 2.5 Duratec FHEV 180CV FWD Aut. Titanium","","Híbridos de gasolina","M1","2320","","","",""
"Ford Kuga MCA (03.2024) SUV 2.5 Duratec FHEV 183CV AWD Aut. ST-Line/ST-Line X/Active/ActiveX","","Híbridos de gasolina","M1","2320","","","",""
"Ford Kuga MCA (03.2024) SUV 2.5 Duratec FHEV 183CV AWD Aut. Titanium","","Híbridos de gasolina","M1","2320","","","",""
"Ford Kuga MCA (03.2024) SUV 2.5 Duratec PHEV 243CV FWD Aut. ST-Line/ST-Line X/Active/ActiveX","","Híbridos enchufables","M1","2320","16.8","63.5","64.0","14.0"
"Ford Kuga MCA (03.2024) SUV 2.5 Duratec PHEV 243CV FWD Aut. Titanium","","Híbridos enchufables","M1","2320","16.8","63.5","64.0","14.0"
"Ford Mustang (03.2023) Fastback 5.0 Ti-VCT V8 460CV Aut. Fastback Mach 1","","Gasolina","M1","2150","","","",""
"Ford Mustang (03.2023) Fastback 5.0 Ti-VCT V8 460CV Man. Fastback Mach 1","","Gasolina","M1","2150","","","",""
"Ford Mustang (03.2023) Fastback/Convertible 5.0 Ti-VCT V8 450CV Aut. GT","","Gasolina","M1","2150","","","",""
"Ford Mustang (03.2023) Fastback/Convertible 5.0 Ti-VCT V8 450CV Man. GT","","Gasolina","M1","2150","","","",""
"Ford Mustang (03.2024) Fastback 5.0 Ti-VCT V8 460CV Aut. Fastback Mach 1","","Gasolina","M1","2150","","","",""
"Ford Mustang (03.2024) Fastback 5.0 Ti-VCT V8 460CV Man. Fastback Mach 1","","Gasolina","M1","2150","","","",""
"Ford Mustang (03.2024) Fastback/Convertible 5.0 Ti-VCT V8 450CV Aut. GT","","Gasolina","M1","2150","","","",""
"Ford Mustang (03.2024) Fastback/Convertible 5.0 Ti-VCT V8 450CV Man. GT","","Gasolina","M1","2150","","","",""
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 75,7Kwh Aut. AWD Rango Estándar","","Eléctricos puros","M1","2640","19.5","198.0","400.0","75.7"
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 75,7Kwh Aut. RWD Rango Estándar","","Eléctricos puros","M1","2555","17.2","198.0","440.0","75.7"
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 98,8Kwh Aut. AWD Rango Extendido","","Eléctricos puros","M1","2690","18.8","258.0","550.0","98.7"
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 98,8Kwh Aut. GT Rango Extendido","","Eléctricos puros","M1","2605","21.2","358.0","490.0","98.7"
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 98,8Kwh Aut. RWD Rango Extendido","","Eléctricos puros","M1","2605","17.3","216.0","600.0","98.7"
"Ford Mustang Mach-E (03.2024) SUV Eléctrico - 72,6 kWh Aut. Base RWD Rango Estándar","","Eléctricos puros","M1","2690","17.8","198.0","470.0","75.7"
"Ford Mustang Mach-E (03.2024) SUV Eléctrico - 72,6 kWh Aut. Premium AWD Rango Estándar","","Eléctricos puros","M1","2690","19.5","232.0","428.0","75.7"
"Ford Mustang Mach-E (03.2024) SUV Eléctrico - 91 kWh Aut. GT Rango Extendido","","Eléctricos puros","M1","2690","21.2","358.0","490.0","98.7"
"Ford Mustang Mach-E (03.2024) SUV Eléctrico - 91 kWh Aut. Premium AWD Rango Extendido","","Eléctricos puros","M1","2690","18.8","258.0","550.0","98.7"
"Ford Mustang Mach-E (03.2024) SUV Eléctrico - 91 kWh Aut. Premium RWD Rango Extendido","","Eléctricos puros","M1","2690","17.3","216.0","600.0","98.7"
"Ford Nueva Grand Tourneo Custom (03.2024) 2.0 EcoBlue 136CV Aut. Trend","","Gasóleo","M1","3300","","","",""
"Ford Nueva Grand Tourneo Custom (03.2024) 2.0 EcoBlue 136CV Man. Trend","","Gasóleo","M1","3300","","","",""
"Ford Nueva Grand Tourneo Custom (03.2024) 2.0 EcoBlue 150CV Man. Titanium/Active/Sport/Titanium X","","Gasóleo","M1","3300","","","",""
"Ford Nueva Grand Tourneo Custom (03.2024) 2.0 EcoBlue 170CV Aut. AWD Titanium/Active/Sport/Titanium X","","Gasóleo","M1","3300","","","",""
"Ford Nueva Grand Tourneo Custom (03.2024) 2.0 EcoBlue 170CV Aut. Titanium/Active/Sport/Titanium X","","Gasóleo","M1","3300","","","",""
"Ford Nueva Grand Tourneo Custom (03.2024) 2.5 Duratec PHEV 232CV Aut. Titanium/Active/Sport/Titanium X","","Híbridos enchufables","M1","3300","27.0","111.7","48.0","13.6"
"Ford Nueva Tourneo Custom (03.2024) 2.0 EcoBlue 136CV Aut. Trend","","Gasóleo","M1","3300","","","",""
"Ford Nueva Tourneo Custom (03.2024) 2.0 EcoBlue 136CV Man. Trend","","Gasóleo","M1","3300","","","",""
"Ford Nueva Tourneo Custom (03.2024) 2.0 EcoBlue 150CV Man. Titanium/Active/Sport/Titanium X","","Gasóleo","M1","3300","","","",""
"Ford Nueva Tourneo Custom (03.2024) 2.0 EcoBlue 170CV Aut. AWD Titanium/Active/Sport/Titanium X","","Gasóleo","M1","3300","","","",""
"Ford Nueva Tourneo Custom (03.2024) 2.0 EcoBlue 170CV Aut. Titanium/Active/Sport/Titanium X","","Gasóleo","M1","3300","","","",""
"Ford Nueva Tourneo Custom (03.2024) 2.5 Duratec PHEV 232CV Aut. Titanium/Active/Sport/Titanium X","","Híbridos enchufables","M1","3300","27.0","111.7","48.0","13.6"
"Ford Nueva Transit Custom -Kombi L1- (03.2024) 2.0 EcoBlue 136CV Aut. AWD Trend/Limited/Trail","","Gasóleo","M1","3300","","","",""
"Ford Nueva Transit Custom -Kombi L1- (03.2024) 2.0 EcoBlue 136CV Aut. Trend/Limited","","Gasóleo","M1","3300","","","",""
"Ford Nueva Transit Custom -Kombi L1- (03.2024) 2.0 EcoBlue 136CV Man. Trend/Limited/Trail","","Gasóleo","M1","3300","","","",""
"Ford Nueva Transit Custom -Kombi L1- (03.2024) 2.0 EcoBlue 150CV Man. Trend/Limited/Trail","","Gasóleo","M1","3300","","","",""
"Ford Nueva Transit Custom -Kombi L1- (03.2024) 2.0 EcoBlue 170CV Aut. AWD Trend/Limited/Trail","","Gasóleo","M1","3300","","","",""
"Ford Nueva Transit Custom -Kombi L1- (03.2024) 2.0 EcoBlue 170CV Aut. Trend/Limited","","Gasóleo","M1","3300","","","",""
"Ford Nueva Transit Custom -Kombi L1- (03.2024) 2.5 Duratec PHEV 232CV Aut. Trend/Limited","","Híbridos enchufables","M1","3300","27.0","111.7","48.0","13.6"
"Ford Nueva Transit Custom -Kombi L2- (03.2024) 2.0 EcoBlue 136CV Aut. AWD Trend/Limited/Trail","","Gasóleo","M1","3300","","","",""
