"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Mercedes-Benz Clase C Berlina (W206) 200","","Híbridos de gasolina","M1","2265","","17.0","",""
"Mercedes-Benz Clase C Berlina (W206) 200 d","","Híbridos de gasóleo","M1","2350","","17.0","",""
"Mercedes-Benz Clase C Berlina (W206) 220 d","","Híbridos de gasóleo","M1","2355","","17.0","",""
"Mercedes-Benz Clase C Berlina (W206) 220 d 4MATIC","","Híbridos de gasóleo","M1","2400","","17.0","",""
"Mercedes-Benz Clase C Berlina (W206) 300","","Híbridos de gasolina","M1","2280","","17.0","",""
"Mercedes-Benz Clase C Berlina (W206) 300 d","","Híbridos de gasóleo","M1","2380","","17.0","",""
"Mercedes-Benz Clase C Berlina (W206) 300 de","","Híbridos enchufables","M1","2665","20.3","45.0","100.0","25.4"
"Mercedes-Benz Clase C Berlina (W206) 300 de 4MATIC","","Híbridos enchufables","M1","2675","20.9","45.0","97.0","25.4"
"Mercedes-Benz Clase C Berlina (W206) 300 e","","Híbridos enchufables","M1","2615","20.1","95.0","102.0","25.4"
"Mercedes-Benz Clase C Berlina (W206) 43 4MATIC","","Híbridos de gasolina","M1","2350","","10.0","",""
"Mercedes-Benz Clase C Berlina (W206) 63 S E PERFORMANCE","","Híbridos enchufables","M1","2650","11.7","150.0","13.0","6.1"
"Mercedes-Benz Clase C Estate (S206) 180","","Híbridos de gasolina","M1","2315","","17.0","",""
"Mercedes-Benz Clase C Estate (S206) 200","","Híbridos de gasolina","M1","2325","","17.0","",""
"Mercedes-Benz Clase C Estate (S206) 200 d","","Híbridos de gasóleo","M1","2400","","17.0","",""
"Mercedes-Benz Clase C Estate (S206) 220 d","","Híbridos de gasóleo","M1","2400","","17.0","",""
"Mercedes-Benz Clase C Estate (S206) 220 d 4MATIC","","Híbridos de gasóleo","M1","2410","","17.0","",""
"Mercedes-Benz Clase C Estate (S206) 220 d 4MATIC All-Terrain","","Híbridos de gasóleo","M1","2400","","17.0","",""
"Mercedes-Benz Clase C Estate (S206) 300","","Híbridos de gasolina","M1","2340","","17.0","",""
"Mercedes-Benz Clase C Estate (S206) 300 d","","Híbridos de gasóleo","M1","2400","","17.0","",""
"Mercedes-Benz Clase C Estate (S206) 300 de","","Híbridos enchufables","M1","2675","20.8","95.0","96.0","25.4"
"Mercedes-Benz Clase C Estate (S206) 300 de 4MATIC","","Híbridos enchufables","M1","2695","21.6","95.0","93.0","25.4"
"Mercedes-Benz Clase C Estate (S206) 300 e","","Híbridos enchufables","M1","2655","20.5","95.0","99.0","25.4"
"Mercedes-Benz Clase C Estate (S206) 43 4MATIC","","Híbridos de gasolina","M1","2400","","10.0","",""
"Mercedes-Benz Clase C Estate (S206) 63 S E PERFORMANCE","","Híbridos enchufables","M1","2675","11.7","150.0","13.0","6.1"
"Mercedes-Benz Clase E Berlina (W214) 200","","Híbridos de gasolina","M1","2450","","17.0","",""
"Mercedes-Benz Clase E Berlina (W214) 220 d","","Híbridos de gasóleo","M1","2530","","17.0","",""
"Mercedes-Benz Clase E Berlina (W214) 220 d 4MATIC","","Híbridos de gasóleo","M1","2580","","17.0","",""
"Mercedes-Benz Clase E Berlina (W214) 300 de","","Híbridos enchufables","M1","2810","22.4","95.0","93.0","25.4"
"Mercedes-Benz Clase E Berlina (W214) 300 de 4MATIC","","Híbridos enchufables","M1","2860","24.1","95.0","84.0","25.4"
"Mercedes-Benz Clase E Berlina (W214) 300 e","","Híbridos enchufables","M1","2805","20.7","95.0","100.0","25.4"
"Mercedes-Benz Clase E Berlina (W214) 450 d 4MATIC","","Híbridos de gasóleo","M1","2675","","17.0","",""
"Mercedes-Benz Clase E Estate (S214) 200","","Híbridos de gasolina","M1","2540","","17.0","",""
"Mercedes-Benz Clase E Estate (S214) 220 d","","Híbridos de gasóleo","M1","2615","","17.0","",""
"Mercedes-Benz Clase E Estate (S214) 220 d 4MATIC","","Híbridos de gasóleo","M1","2665","","17.0","",""
"Mercedes-Benz Clase E Estate (S214) 220 d 4MATIC All-Terrain","","Híbridos de gasóleo","M1","2655","","17.0","",""
"Mercedes-Benz Clase E Estate (S214) 300 de","","Híbridos enchufables","M1","2910","23.1","95.0","91.0","25.4"
"Mercedes-Benz Clase E Estate (S214) 300 de 4MATIC","","Híbridos enchufables","M1","2965","24.9","95.0","82.0","25.4"
"Mercedes-Benz Clase E Estate (S214) 300 de 4MATIC All-Terrain","","Híbridos enchufables","M1","2970","25.1","95.0","81.0","25.4"
"Mercedes-Benz Clase E Estate (S214) 300 e","","Híbridos enchufables","M1","2849","21.4","95.0","95.0","25.4"
"Mercedes-Benz Clase E Estate (S214) 450 d 4MATIC","","Híbridos de gasóleo","M1","2745","","17.0","",""
"Mercedes-Benz Clase G (W463) 400 d","","Gasóleo","M1","3150","","","",""
"Mercedes-Benz Clase G (W463) 500","","Gasolina","M1","3150","","","",""
"Mercedes-Benz Clase G (W463) 63","","Gasolina","M1","3200","","","",""
"Mercedes-Benz Clase S Corto (W223) 350 d","","Híbridos de gasóleo","M1","2730","","17.0","",""
"Mercedes-Benz Clase S Corto (W223) 350 d 4MATIC","","Híbridos de gasóleo","M1","2820","","17.0","",""
"Mercedes-Benz Clase S Corto (W223) 450 d 4MATIC","","Híbridos de gasóleo","M1","2820","","17.0","",""
"Mercedes-Benz Clase S Corto (W223) 500 4MATIC","","Híbridos de gasolina","M1","2810","","17.0","",""
"Mercedes-Benz Clase S Corto (W223) 580 4MATIC","","Híbridos de gasolina","M1","2820","","17.0","",""
"Mercedes-Benz Clase S Corto (W223) 580 e","","Híbridos enchufables","M1","3035","23.3","110.0","99.0","28.6"
"Mercedes-Benz Clase S Largo (V223) 350 d","","Híbridos de gasóleo","M1","2765","","17.0","",""
"Mercedes-Benz Clase S Largo (V223) 350 d 4MATIC","","Híbridos de gasóleo","M1","2820","","17.0","",""
"Mercedes-Benz Clase S Largo (V223) 450 d 4MATIC","","Híbridos de gasóleo","M1","2820","","17.0","",""
"Mercedes-Benz Clase S Largo (V223) 500 4MATIC","","Híbridos de gasolina","M1","2820","","17.0","",""
"Mercedes-Benz Clase S Largo (V223) 580 4MATIC","","Híbridos de gasolina","M1","2820","","17.0","",""
"Mercedes-Benz Clase S Largo (V223) 580 e","","Híbridos enchufables","M1","3070","23.6","110.0","97.0","28.6"
"Mercedes-Benz Clase S Largo (V223) 63 E Performance","","Híbridos enchufables","M1","3145","21.4","140.0","31.0","13.0"
"Mercedes-Benz Clase S Maybach (Z223) 580 e Maybach","","Híbridos enchufables","M1","3070","24.6","110.0","94.0","28.6"
"Mercedes-Benz Clase S Maybach (Z223) 680 Maybach","","Gasolina","M1","2890","","","",""
"Mercedes-Benz Clase T Clase T 160","","Gasolina","M1","2095","","","",""
"Mercedes-Benz Clase T Clase T 160 d Automático","","Gasóleo","M1","2199","","","",""
"Mercedes-Benz Clase T Clase T 160 d Manual","","Gasóleo","M1","2174","","","",""
"Mercedes-Benz Clase T Clase T 180","","Gasolina","M1","2368","","","",""
"Mercedes-Benz Clase T Clase T 180 2095","","Gasolina","M1","2095","","","",""
"Mercedes-Benz Clase T Clase T 180 2118","","Gasolina","M1","2118","","","",""
"Mercedes-Benz Clase T Clase T 180 d Automático","","Gasóleo","M1","2199","","","",""
"Mercedes-Benz Clase T Clase T 180 d Manual","","Gasóleo","M1","2176","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 220 d AVANTGARDE Compacto","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 220 d AVANTGARDE Extralargo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 220 d AVANTGARDE Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 220 d Compacto","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 220 d Extralargo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 220 d Largo","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 220 d STYLE Compacto","","Gasóleo","M1","3200","","","",""
"Mercedes-Benz Clase V (03.2024) Clase V 220 d STYLE Extralargo","","Gasóleo","M1","3200","","","",""
