"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"BMW 520i Touring (Desde prod 07/2020) 11BM","","Gasolina","M1","2350","","","",""
"BMW 520i Touring (Desde prod 11/2019) 11BM","","Gasolina","M1","2350","","","",""
"BMW 530d Berlina (Desde prod 01/2021) 11AH","","Gasóleo","M1","2440","","8.0","",""
"BMW 530d Berlina (Desde prod 11/2019) 11AH","","Gasóleo","M1","2355","","","",""
"BMW 530d Touring (Desde prod 01/2021) 11AJ","","Gasóleo","M1","2550","","8.0","",""
"BMW 530d Touring (Desde prod 11/2019) 11AJ","","Gasóleo","M1","2480","","","",""
"BMW 530d xDrive Berlina (Desde prod 07/2020) 31AH","","Gasóleo","M1","2505","","","",""
"BMW 530d xDrive Berlina (Desde prod 11/2019) 31AH","","Gasóleo","M1","2410","","","",""
"BMW 530d xDrive Touring (Desde prod 01/2021) 31AJ","","Gasóleo","M1","2610","","8.0","",""
"BMW 530d xDrive Touring (Desde prod 06/2020) 31AJ","","Gasóleo","M1","2610","","","",""
"BMW 530d xDrive Touring (Desde prod 11/2019) 31AJ","","Gasóleo","M1","2530","","","",""
"BMW 530e Berlina (Desde prod 01/2021) 11AG","","Híbridos enchufables","M1","2505","","80.0","57.0","90.0"
"BMW 530e Berlina (Desde prod 03/2019) JA91","","Híbridos enchufables","M1","2420","13.3","83.0","48.0","90.0"
"BMW 530e Berlina (Desde prod 11/2019) 11AG","","Híbridos enchufables","M1","2420","13.8","83.0","",""
"BMW 530e Berlina (Desde prod 11/2023) 71FJ","","Híbridos enchufables","M1","2655","21.0","135.0","101.0","19.4"
"BMW 530e Touring (Desde prod 01/2021) 11CG","","Híbridos enchufables","M1","2550","","80.0","51.0","90.0"
"BMW 530e Touring (Desde prod 11/2023) 11CG","","Híbridos enchufables","M1","2550","22.3","80.0","56.0","11.2"
"BMW 530e xDrive Berlina (Desde prod 01/2021) 11CH","","Híbridos enchufables","M1","2560","","80.0","51.0","90.0"
"BMW 530e xDrive Touring (Desde prod 01/2021) 31CG","","Híbridos enchufables","M1","2610","","80.0","47.0","90.0"
"BMW 530e xDrive Touring (Desde prod 11/2023) 31CG","","Híbridos enchufables","M1","2610","24.4","80.0","52.0","11.2"
"BMW 530i Berlina (Desde prod 07/2020) 51BH","","Gasolina","M1","2305","","","",""
"BMW 530i Berlina (Desde prod 11/2019) 51BH","","Gasolina","M1","2220","","","",""
"BMW 530i Touring (Desde prod 07/2020) 31BM","","Gasolina","M1","2360","","","",""
"BMW 530i Touring (Desde prod 11/2019) 31BM","","Gasolina","M1","2360","","","",""
"BMW 530i xDrive Berlina (Desde prod 07/2020) 11BJ","","Gasolina","M1","2360","","","",""
"BMW 530i xDrive Berlina (Desde prod 11/2019) JR71","","Gasolina","M1","2280","","","",""
"BMW 530i xDrive Touring (Desde prod 01/2021) 51BM","","Gasolina","M1","2490","","8.0","",""
"BMW 530i xDrive Touring (Desde prod 07/2020) 51BM","","Gasolina","M1","2440","","","",""
"BMW 530i xDrive Touring (Desde prod 11/2019) 51BM","","Gasolina","M1","2440","","","",""
