"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"SKODA OCTAVIA LIMO MY22 Style 1,4 TSI iV P-HEV 150 kW (204 CV) DSG 6 vel. (MTMA 2120)","","Híbridos enchufables","M1","2120","14.7","85.0","64.0","13.0"
"SKODA OCTAVIA LIMO MY22 STYLE 1.5 TSI 110 kW (150 CV) DSG m-HEV","","Híbridos de gasolina","M1","3412","","","",""
"SKODA OCTAVIA LIMO MY22 STYLE 1.5 TSI 110 kW (150 CV) Manual","","Gasolina","M1","3383","","","",""
"SKODA OCTAVIA LIMO MY22 STYLE 2.0 TDI 110 kW (150 CV) DSG","","Gasóleo","M1","3600","","","",""
"SKODA OCTAVIA LIMO MY22 STYLE 2.0 TDI 110 kW (150 CV) Manual","","Gasóleo","M1","3560","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 1.0 TSI 81 kW (110 CV) DSG - mHEV (MTMA 1860)","","Gasolina","M1","1860","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 1.0 TSI 81 kW (110 CV) DSG - mHEV (MTMA 1900)","","Gasolina","M1","1900","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 1.0 TSI 81 kW (110 CV) Manual (MTMA 1800)","","Gasolina","M1","1800","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 1.0 TSI 81 kW (110 CV) Manual (MTMA 1820)","","Gasolina","M1","1820","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 1.0 TSI 81 kW (110 CV) Manual (MTMA 1860)","","Gasolina","M1","1860","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1880)","","Gasolina","M1","1880","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1920)","","Gasolina","M1","1920","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 1.5 TSI 96 kW (130 CV) DSG - G-TEC (MTMA 1870)","","Gas natural","M1","1870","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 2.0 TDI 110 kW (150 CV) DSG (MTMA 1960)","","Gasóleo","M1","1960","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 2.0 TDI 110 kW (150 CV) DSG (MTMA 2000)","","Gasóleo","M1","2000","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 2.0 TDI 110 kW (150 CV) Manual (MTMA 1920)","","Gasóleo","M1","1920","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 2.0 TDI 110 kW (150 CV) Manual (MTMA 1970)","","Gasóleo","M1","1960","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 2.0 TDI 85 kW (115 CV) DSG (MTMA 1930)","","Gasóleo","M1","1930","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 2.0 TDI 85 kW (115 CV) DSG (MTMA 1970)","","Gasóleo","M1","1970","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 2.0 TDI 85 kW (115 CV) Manual (MTMA 1920)","","Gasóleo","M1","1920","","","",""
"SKODA OCTAVIA LIMO MY23 AMBITION 2.0 TDI 85 kW (115 CV) Manual (MTMA 1960)","","Gasóleo","M1","1960","","","",""
"SKODA OCTAVIA LIMO MY23 RS 1.4 TSI P-HEV 180kW (245 CV) DSG (MTMA 2110)","","Híbridos enchufables","M1","2110","15.1","85.0","62.0","13.0"
"SKODA OCTAVIA LIMO MY23 RS 1.4 TSI P-HEV 180kW (245 CV) DSG (MTMA 2140)","","Híbridos enchufables","M1","2140","15.1","85.0","62.0","13.0"
"SKODA OCTAVIA LIMO MY23 RS 2,0 TDI 147 kW (200 CV) DSG 7 vel. 4X4 (MTMA 2110)","","Gasóleo","M1","2110","","","",""
"SKODA OCTAVIA LIMO MY23 RS 2,0 TDI 147 kW (200 CV) DSG 7 vel. 4X4 (MTMA 2180)","","Gasóleo","M1","2180","","","",""
"SKODA OCTAVIA LIMO MY23 RS 2,0 TDI 147 kW (200 CV) DSG 7 vel. 4X4 (MTMA 2190)","","Gasóleo","M1","2190","","","",""
"SKODA OCTAVIA LIMO MY23 RS 2.0 TDI 147kW (200 CV) DSG (MTMA 2015)","","Gasóleo","M1","2015","","","",""
"SKODA OCTAVIA LIMO MY23 RS 2.0 TDI 147kW (200 CV) DSG (MTMA 2060)","","Gasóleo","M1","2060","","","",""
"SKODA OCTAVIA LIMO MY23 RS 2.0 TDI 147kW (200 CV) DSG (MTMA 2070)","","Gasóleo","M1","2070","","","",""
"SKODA OCTAVIA LIMO MY23 RS 2.0 TSI 180 kW (245 CV) DSG (MTMA 2025)","","Gasolina","M1","2025","","","",""
"SKODA OCTAVIA LIMO MY23 RS 2.0 TSI 180 kW (245 CV) DSG (MTMA 2070)","","Gasolina","M1","2070","","","",""
"SKODA OCTAVIA LIMO MY23 RS 2.0 TSI 180 kW (245 CV) DSG (MTMA 2080)","","Gasolina","M1","2080","","","",""
"SKODA OCTAVIA LIMO MY23 SPORT 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1880)","","Gasolina","M1","1880","","","",""
"SKODA OCTAVIA LIMO MY23 SPORT 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1920)","","Gasolina","M1","1920","","","",""
"SKODA OCTAVIA LIMO MY23 SPORT 2.0 TDI 110 kW (150 CV) DSG (MTMA 1960)","","Gasóleo","M1","1960","","","",""
"SKODA OCTAVIA LIMO MY23 SPORT 2.0 TDI 110 kW (150 CV) DSG (MTMA 2000)","","Gasóleo","M1","2000","","","",""
"SKODA OCTAVIA LIMO MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2049)","","Híbridos enchufables","M1","2049","14.8","85.0","66.0","13.0"
"SKODA OCTAVIA LIMO MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2052)","","Híbridos enchufables","M1","2052","14.8","85.0","66.0","13.0"
"SKODA OCTAVIA LIMO MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2112)","","Híbridos enchufables","M1","2112","14.8","85.0","66.0","13.0"
"SKODA OCTAVIA LIMO MY23 STYLE 1.4 TSI P-HEV 150kW (204 CV) DSG (MTMA 2138)","","Híbridos enchufables","M1","2138","14.8","85.0","66.0","13.0"
"SKODA OCTAVIA LIMO MY23 STYLE 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1880)","","Gasolina","M1","1880","","","",""
"SKODA OCTAVIA LIMO MY23 STYLE 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1920)","","Gasolina","M1","1920","","","",""
"SKODA OCTAVIA LIMO MY23 STYLE 2.0 TDI 110 kW (150 CV) DSG (MTMA 2000)","","Gasóleo","M1","2000","","","",""
"SKODA OCTAVIA LIMO MY24 AMBITION PLUS 1.0 TSI 81 kW (110 CV) DSG m-HEV (MTMA 1840)","","Híbridos de gasolina","M1","1840","","","",""
"SKODA OCTAVIA LIMO MY24 AMBITION PLUS 1.0 TSI 81 kW (110 CV) DSG m-HEV (MTMA 1900)","","Híbridos de gasolina","M1","1900","","","",""
"SKODA OCTAVIA LIMO MY24 AMBITION PLUS 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1880)","","Híbridos de gasolina","M1","1880","","","",""
"SKODA OCTAVIA LIMO MY24 AMBITION PLUS 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA 1920)","","Híbridos de gasolina","M1","1920","","","",""
"SKODA OCTAVIA LIMO MY24 AMBITION PLUS 2.0 TDI 110kW (150 CV) DSG (MTMA 1960)","","Gasóleo","M1","1960","","","",""
"SKODA OCTAVIA LIMO MY24 AMBITION PLUS 2.0 TDI 110kW (150 CV) DSG (MTMA 2000)","","Gasóleo","M1","2000","","","",""
"SKODA OCTAVIA LIMO MY24 AMBITION PLUS 2.0 TDI 85kW (115 CV) Manual (MTMA 1920)","","Gasóleo","M1","1920","","","",""
"SKODA OCTAVIA LIMO MY24 AMBITION PLUS 2.0 TDI 85kW (115 CV) Manual (MTMA 1960)","","Gasóleo","M1","1960","","","",""
"SKODA OCTAVIA LIMO MY24 RS 2.0 TSI 180kW (245 CV) DSG (MTMA 2025)","","Gasóleo","M1","2025","","","",""
"SKODA OCTAVIA LIMO MY24 RS 2.0 TSI 180kW (245 CV) DSG (MTMA 2070)","","Gasóleo","M1","2070","","","",""
"SKODA OCTAVIA LIMO MY24 RS 2.0 TSI 180kW (245 CV) DSG (MTMA 2080)","","Gasóleo","M1","2080","","","",""
"SKODA OCTAVIA LIMO MY24 SELECTION 1.0 TSI 81kW (110 CV) DSG - mHEV (MTMA","","Híbridos de gasolina","M1","1840","","","",""
"SKODA OCTAVIA LIMO MY24 SELECTION 1.0 TSI 81kW (110 CV) DSG - mHEV (MTMA","","Híbridos de gasolina","M1","1900","","","",""
"SKODA OCTAVIA LIMO MY24 SELECTION 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA","","Híbridos de gasolina","M1","1880","","","",""
"SKODA OCTAVIA LIMO MY24 SELECTION 1.5 TSI 110 kW (150 CV) DSG m-HEV (MTMA","","Híbridos de gasolina","M1","1920","","","",""
"SKODA OCTAVIA LIMO MY24 SELECTION 2.0 TDI 110kW (150 CV) DSG (MTMA 1960)","","Gasóleo","M1","1960","","","",""
"SKODA OCTAVIA LIMO MY24 SELECTION 2.0 TDI 110kW (150 CV) DSG (MTMA 2000)","","Gasóleo","M1","2000","","","",""
"SKODA OCTAVIA LIMO MY24 SELECTION 2.0 TDI 85kW (115 CV) Manual (MTMA 1920)","","Gasóleo","M1","1920","","","",""
"SKODA OCTAVIA LIMO MY24 SELECTION 2.0 TDI 85kW (115 CV) Manual (MTMA 1960)","","Gasóleo","M1","1960","","","",""
"SKODA OCTAVIA MY24 AMBITION PLUS 1.5 TSI 96 kW (130 CV) DSG (MTMA 1880)","","Gas natural","M1","1880","","","",""
"SKODA OCTAVIA MY24 SELECTION 1.4 TSI iV P-HEV 150kW (204 CV) DSG (MTMA 2050)","","Híbridos enchufables","M1","2050","14.4","80.0","66.0","10.0"
"SKODA OCTAVIA MY24 SELECTION 1.4 TSI iV P-HEV 150kW (204 CV) DSG (MTMA 2100)","","Híbridos enchufables","M1","2100","14.4","80.0","66.0","10.0"
"SKODA OCTAVIA MY24 SELECTION 1.4 TSI iV P-HEV 150kW (204 CV) DSG (MTMA 2130)","","Híbridos enchufables","M1","2130","14.4","80.0","66.0","10.0"
"SKODA SCALA Enero MY23 ACTIVE 1.0 TSI 81 kW (110 CV) Manual (MTMA 1620)","","Gasolina","M1","1620","","","",""
"SKODA SCALA Enero MY23 ACTIVE 1.0 TSI 81 kW (110 CV) Manual (MTMA 1650)","","Gasolina","M1","1650","","","",""
"SKODA SCALA Enero MY23 ACTIVE 1.0 TSI 81 kW (110 CV) Manual (MTMA 1670)","","Gasolina","M1","1670","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.0 TSI 70 kW (95 CV) Manual (MTMA 1600)","","Gasolina","M1","1600","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.0 TSI 70 kW (95 CV) Manual (MTMA 1630)","","Gasolina","M1","1630","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.0 TSI 70 kW (95 CV) Manual (MTMA 1669)","","Gasolina","M1","1669","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.0 TSI 81 kW (110 CV) DSG (MTMA 1640)","","Gasolina","M1","1640","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.0 TSI 81 kW (110 CV) DSG (MTMA 1670)","","Gasolina","M1","1670","","","",""
"SKODA SCALA Enero MY23 AMBITION 1.0 TSI 81 kW (110 CV) DSG (MTMA 1709)","","Gasolina","M1","1709","","","",""
