"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Hyundai i30 5P TGDI 2.0 280CV DRIVE N LE","","Gasolina","M1","1940","","","",""
"Hyundai i30 5P TGDI 2.0 280CV DT DRIVE N LE","","Gasolina","M1","1970","","","",""
"Hyundai i30 5P TGDI 2.0 280CV N PERFORMANCE","","Gasolina","M1","1940","","","",""
"Hyundai i30 5P TGDI 2.0 280CVDT N PERFORMANCE SKY","","Gasolina","M1","1970","","","",""
"Hyundai i30 CW CRDI 1.6 116CV KLASS","","Gasóleo","M1","1920","","","",""
"Hyundai i30 CW CRDI 1.6 116CV KLASS LR","","Gasóleo","M1","1920","","","",""
"Hyundai i30 CW CRDI 1.6 116CV KLASS NAV FLEET","","Gasóleo","M1","1920","","","",""
"Hyundai i30 CW CRDI 1.6 136CV 48V DT N LINE X","","Híbridos de gasóleo","M1","1960","","12.2","",""
"Hyundai i30 CW CRDI 1.6 136CV 48V KLASS","","Híbridos de gasóleo","M1","1930","","12.2","",""
"Hyundai i30 CW CRDI 1.6 136CV 48V KLASS LR","","Híbridos de gasóleo","M1","1930","","12.2","",""
"Hyundai i30 CW CRDI 1.6 136CV 48V N LINE","","Híbridos de gasóleo","M1","1930","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV 48V DT KLASS","","Híbridos de gasolina","M1","1880","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV 48V KLASS","","Híbridos de gasolina","M1","1850","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV 48V KLASS LR","","Híbridos de gasolina","M1","1850","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV 48V N LINE","","Híbridos de gasolina","M1","1850","","12.2","",""
"Hyundai i30 CW TGDI 1.0 120CV KLASS","","Gasolina","M1","1840","","","",""
"Hyundai i30 CW TGDI 1.0 120CV KLASS LR","","Gasolina","M1","1840","","","",""
"Hyundai i30 CW TGDI 1.0 120CV N LINE 30A","","Gasolina","M1","1850","","","",""
"Hyundai i30 CW TGDI 1.5 160CV 48V DT N LINE","","Híbridos de gasolina","M1","1900","","12.2","",""
"Hyundai i30 CW TGDI 1.5 160CV 48V DT N LINE X","","Híbridos de gasolina","M1","1900","","12.2","",""
"Hyundai i30 FB CRDI 1.6 136CV 48V KLASS","","Híbridos de gasóleo","M1","1920","","12.2","",""
"Hyundai i30 FB TGDI 1.0 120CV 48V DT TECNO","","Híbridos de gasolina","M1","1860","","12.0","",""
"Hyundai i30 FB TGDI 1.0 120CV 48V KLASS","","Híbridos de gasolina","M1","1830","","12.2","",""
"Hyundai i30 FB TGDI 1.0 120CV 48V KLASS LR","","Híbridos de gasolina","M1","1830","","12.2","",""
"Hyundai i30 FB TGDI 1.0 120CV 48V TECNO","","Híbridos de gasolina","M1","1830","","12.0","",""
"Hyundai i30 FB TGDI 1.0 120CV ESSENCE","","Gasolina","M1","1820","","","",""
"Hyundai i30 FB TGDI 1.0 120CV ESSENCE LRR","","Gasolina","M1","1820","","","",""
"Hyundai i30 FB TGDI 1.0 120CV KLASS","","Gasolina","M1","1820","","","",""
"Hyundai i30 FB TGDI 1.0 120CV KLASS LR","","Gasolina","M1","1820","","","",""
"Hyundai i30 FB TGDI 1.0 120CV N LINE 30A","","Gasolina","M1","1830","","","",""
"Hyundai i30 FB TGDI 1.5 160CV 48V DT N LINE X","","Híbridos de gasolina","M1","1880","","12.2","",""
"Hyundai i30 FB TGDI 1.5 160CV 48V N LINE","","Híbridos de gasolina","M1","1850","","12.2","",""
"Hyundai i30 FB TGDI 2.0 280CV DT DRIVE N LE","","Gasolina","M1","1980","","","",""
"Hyundai i30 FB TGDI 2.0 280CVDT N PERFORMANCE SKY","","Gasolina","M1","1980","","","",""
"Hyundai IONIQ 5  168kW 77kWh RWD ENERGY","","Eléctricos puros","M1","2450","18.0","168.0","476.0","77.0"
"Hyundai IONIQ 5  168kW 77kWh RWD LIGHT","","Eléctricos puros","M1","2450","17.0","168.0","507.0","77.0"
"Hyundai IONIQ 5 125kW 58kWh RWD LIGHT","","Eléctricos puros","M1","2370","16.7","125.0","384.0","58.0"
"Hyundai IONIQ 5 160kW 73kWh RWD ENERGY","","Eléctricos puros","M1","2430","17.9","160.0","451.0","73.0"
"Hyundai IONIQ 5 160kW 73kWh RWD LIGHT","","Eléctricos puros","M1","2430","16.8","160.0","481.0","73.0"
"Hyundai IONIQ 5 160kW 73kWh RWD STAR","","Eléctricos puros","M1","2430","16.8","160.0","481.0","73.0"
"Hyundai IONIQ 5 168kW 77kWh RWD STAR","","Eléctricos puros","M1","2450","17.0","168.0","507.0","77.0"
"Hyundai IONIQ 5 225kW 73kWh AWD ENERGY","","Eléctricos puros","M1","2540","19.0","225.0","430.0","73.0"
"Hyundai IONIQ 5 239kW 77kWh AWD ENERGY","","Eléctricos puros","M1","2560","19.1","239.0","454.0","77.0"
"Hyundai IONIQ 5 478kW 84kWh AWD N","","Eléctricos puros","M1","2660","21.2","478.0","448.0","84.0"
"Hyundai IONIQ 6 111KW 53kWh RWD LIGHT","","Eléctricos puros","M1","2280","13.9","111.0","429.0","53.0"
"Hyundai IONIQ 6 168KW 77kWh RWD STAR","","Eléctricos puros","M1","2410","14.3","168.0","614.0","77.0"
"Hyundai IONIQ 6 239kW 77kWh AWD ENERGY","","Eléctricos puros","M1","2520","16.9","239.0","519.0","77.0"
"Hyundai IONIQ FL EV 5P 100kW KLASS","","Eléctricos puros","M1","1970","13.8","100.0","311.0","38.0"
"Hyundai IONIQ FL EV 5P 100kW KLASS TAXI FLEET","","Eléctricos puros","M1","1970","13.8","100.0","311.0","38.0"
"Hyundai IONIQ FL EV 5P 100kW STYLE","","Eléctricos puros","M1","1970","13.8","100.0","311.0","38.0"
"Hyundai IONIQ FL EV 5P 100kW TECNO","","Eléctricos puros","M1","1970","13.8","100.0","311.0","38.0"
"Hyundai IONIQ FL HEV 5P GDI 1.6 141CV DT KLASS","","Híbridos de gasolina","M1","1870","","32.0","","1.5"
"Hyundai IONIQ FL HEV 5P GDI 1.6 141CV DT STYLE","","Híbridos de gasolina","M1","1870","","32.0","","1.5"
"Hyundai IONIQ FL HEV 5P GDI 1.6 141CV DT TECNO","","Híbridos de gasolina","M1","1870","","32.0","","1.5"
"Hyundai IONIQ FL HEV 5P GDI 1.6 141CV DT TECNO FLEET","","Híbridos de gasolina","M1","1870","","32.0","","1.5"
"Hyundai IONIQ FL PHEV 5P GDI 1.6 141CV DT KLASS","","Híbridos enchufables","M1","1970","11.7","44.5","52.0","8.9"
"Hyundai IONIQ FL PHEV 5P GDI 1.6 141CV DT STYLE","","Híbridos enchufables","M1","1970","11.7","44.5","52.0","8.9"
"Hyundai IONIQ FL PHEV 5P GDI 1.6 141CV DT TECNO","","Híbridos enchufables","M1","1970","11.7","44.5","52.0","8.9"
"Hyundai IONIQ FL PHEV 5P GDI 1.6 141CV DT TECNO FLEET","","Híbridos enchufables","M1","1970","11.7","44.5","52.0","8.9"
"Hyundai KONA EV 115kW 48kWh FLEXX","","Eléctricos puros","M1","2110","14.6","114.0","377.0","48.0"
"Hyundai KONA EV 115kW 48kWh TECNO 2C","","Eléctricos puros","M1","2110","14.6","114.0","377.0","48.0"
"Hyundai KONA EV 135CV 49kWh FLEXX","","Eléctricos puros","M1","2110","14.6","99.0","380.0","49.0"
"Hyundai KONA EV 160kW 65kWh FLEXX","","Eléctricos puros","M1","2220","14.7","160.0","512.0","65.0"
"Hyundai KONA EV 160kW 65kWh STYLE 2C","","Eléctricos puros","M1","2220","16.2","160.0","468.0","65.0"
"Hyundai KONA EV 160kW 65kWh TECNO 2C","","Eléctricos puros","M1","2220","14.9","160.0","511.0","65.0"
"Hyundai KONA EV 204CV 65kWh FLEXX","","Eléctricos puros","M1","2220","14.8","150.0","508.0","65.0"
"Hyundai KONA EV 204CV 65kWh NLINE","","Eléctricos puros","M1","2220","16.1","150.0","465.0","65.0"
