"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Renault Clio V Tce 74 kW (100CV) GPF (semi: ZEN MT 6T, INT MT 6T, RSL MT 6T)","","Gasolina","M1","1603","","","",""
"Renault Clio V TCe 96 kW (130CV) EDC GPF (semi: INT MFA6T y RSL MFA6T)","","Gasolina","M1","1673","","","",""
"Renault Clio V TCe 96 kW (130CV) EDC GPF (semi: INT MFA6T,RSL MFA6T)","","Gasolina","M1","1673","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 118 kW (160CV) EDC 5 plazas 4RD Dfull (semi: ZN AM A U S (Opc. RALU20 +4ROUDI)","","Gasóleo","M1","2568","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 118 kW (160CV) EDC 5 plazas 4RD Dfull (semi: ZN AM A U S Opc. RALU19 +4ROUDI)","","Gasóleo","M1","2568","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 118 kW (160CV) EDC 5 plazas 4RD Dfull (semi: ZN AM AU S Opc. RALU19 +4ROUDI)","","Gasóleo","M1","2568","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 118 kW (160CV) EDC 5 plazas Dfull (semi: ZN AM A U S, ZN AM AU S)","","Gasóleo","M1","2568","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 118 kW (160CV) EDC 5 plazas Dfull (semi: ZN AM AU S)","","Gasóleo","M1","2568","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 118 kW (160CV) EDC 7 plazas 4RD Dfull (semi: ZN AM A U S Opc. 2P3RAN+ Opc. RALU19 + 4ROUDI)","","Gasóleo","M1","2568","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 118 kW (160CV) EDC 7 plazas 4RD Dfull (semi: ZN AM A U S Opc. 2P3RAN+ Opc. RALU20 + 4ROUDI)","","Gasóleo","M1","2568","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 118 kW (160CV) EDC 7 plazas 4RD Dfull (semi: ZN AM AU S Opc. 2P3RAN+ Opc. RALU19 + 4ROUDI)","","Gasóleo","M1","2568","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 118 kW (160CV) EDC 7 plazas Dfull (semi: ZN AM AU S Opc. 2P3RAN)","","Gasóleo","M1","2568","","","",""
"Renault Espace SP5 (fase 2) Blue dCi 139 kW (190CV) EDC 5 plazas 4RD Dfull (semi: IP AL A U S IP AL A U S Opc. 2P3RAN)","","Gasóleo","M1","2568","","","",""
